response.main.verb,chain,workerid,gloss,trialnum,response,response.caveman,clozeIndex,document,original,condition
suck,10,18,It was off to a bad start as soon as I walked in the door.,1,"The weather in Michigan winters sucks, especially in this old house.",weather suck in house,0,025,It was off to a bad start as soon as I walked in the door.,original
strong,76,18,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",2,Now my tea is so strong I can't drink it.,tea strong,1,033,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",original
wear,11,18,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,3,He eventually wore out and crashed.,he wear,4,191,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,original
get,68,18,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",4,"After the third steak, the man was getting visibly agitated, and appeared to become violent.",man get after steak,6,196,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",original
tell,88,18,"I interrupted her stating, ""I will go get my manager,'' and walked away.",5,I told the guest that their coupons were not any good here.,I tell guest,1,023,"I interrupted her stating, ""I will go get my manager,'' and walked away.",original
tell,88,18,"I interrupted her stating, ""I will go get my manager,'' and walked away.",5,I told the guest that their coupons were not any good here.,I tell guest,1,023,"I interrupted her stating, ""I will go get my manager,'' and walked away.",original
come,168,18,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,6,My wife came completely unglued and threatened to sue the restaurant.,wife come,0,177,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,original
unruly,48,18,"In reality this ""judge'' was trying to hide his martini on the floor.",7,"The patron was unruly, but looked too drunk to do anything about it.",patron unruly,1,022,"In reality this ""judge'' was trying to hide his martini on the floor.",original
know,86,18,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,8,"We did not know what the bill would look like, since the rest of the experience was so bad.",we know,0,248,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,original
love,41,18,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.",9,We love this restaurant.,we love restaurant,1,243,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.",original
hear,40,18,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",10,The waitress either can't hear or doesn't pay attention.,waitress hear,0,086,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",original
end,41,18,"The food was good, the service was good, we had a fun time.",11,We ended up carrying on quite a conversation with the waitress.,we end,0,120,"The food was good, the service was good, we had a fun time.",original
douche,18,18,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",12,The annoying waiter was a real douche.,waiter douche,0,271,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",original
tell,84,18,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",13,We told him it was great.,we tell he,1,063,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",original
be,110,18,"I wonder, however, what we could have done differently to avoid his attitude.",14,We will not be back.,we be,3,050,"I wonder, however, what we could have done differently to avoid his attitude.",original
embarrassed,22,18,It was a good thing that they didn't prepare my meal before giving me the price!,15,I have never been so embarrassed.,I embarrassed,1,153,It was a good thing that they didn't prepare my meal before giving me the price!,original
get,102,18,We started on our way out of the restaurant.,16,We got up and began to walk out of the restaurant.,we get,7,151,We started on our way out of the restaurant.,original
small,29,18,It happened on a bank holiday and I was not at work that day.,17,The next location was extremely small.,location small,0,171,It happened on a bank holiday and I was not at work that day.,original
bring,84,19,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",1,A server had just brought out food.,server bring food,1,063,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",original
awful,18,19,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",2,Our waiter was totally awful. ,waiter awful,0,271,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",original
pain,76,19,"Of course, she breaks the teabag inside.",3,Martha has been being a complete pain all night.,Martha pain tmod night,0,033,"Of course, she breaks the teabag inside.",original
make,88,19,He told them they were no longer welcome.,4,I made it clear that I wouldn't tolerate that type of behavior either.,I make,5,023,He told them they were no longer welcome.,original
helpful,40,19,I always had to speak up and try to get her attention for a refill.,5,The waitress was helpful but seemed to dislike me.,waitress helpful,1,086,I always had to speak up and try to get her attention for a refill.,original
begin,102,19,We started on our way out of the restaurant.,6,We began leaving the restaurant.,we begin,7,151,We started on our way out of the restaurant.,original
enjoy,78,19,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",7,We enjoyed the night just fine.,we enjoy,1,022,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",original
spot,20,19,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.",8,We spotted a couple of friends there.,we spot couple,1,177,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.",original
offer,110,19,"I wonder, however, what we could have done differently to avoid his attitude.",9,He offered to take it back to the kitchen to heat it up,he offer,3,050,"I wonder, however, what we could have done differently to avoid his attitude.",original
have,22,19,It was a good thing that they didn't prepare my meal before giving me the price!,10,I had no money to pay. ,I have money,1,153,It was a good thing that they didn't prepare my meal before giving me the price!,original
happy,41,19,"The food was good, the service was good, we had a fun time.",11,I was happy to be out at lunch.,I happy,0,120,"The food was good, the service was good, we had a fun time.",original
ask,21,19,"After perusing our menus, the waitress came over to take our order.",12,The waitress asked for my order.,waitress ask for order,0,243,"After perusing our menus, the waitress came over to take our order.",original
eat,68,19,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",13,The couple ate some and decided to run out on the bill.,couple eat some,5,196,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",original
wait,133,19,"We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.",14,We'd been waiting for food for nearly forty minutes,we wait for food,0,191,"We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.",original
offer,86,19,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.",15,They offered to make me a fresh new pie. ,they offer,1,248,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.",original
go,58,19,It's freezing this time of year so I didn't want to sit near the door.,16,I went to a restaurant and they told me to wait for an open table. ,I go to restaurant,0,171,It's freezing this time of year so I didn't want to sit near the door.,original
horrible,10,19,It's freezing this time of year so I didn't want to sit near the door.,17,My day was horrible.,day horrible,1,025,It's freezing this time of year so I didn't want to sit near the door.,original
ask,88,20,He tell.,1,He asked a question about the restaurant.,he ask question about restaurant,4,023,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.",caveman
call,86,20,I order.,2,I called the restaurant,I call restaurant,0,248,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,caveman
great,84,20,Server start.,3,The food was great.,food great,1,063,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",caveman
serve,10,20,It be.,4,The dessert was served.,dessert serve,0,025,It was off to a bad start as soon as I walked in the door.,caveman
ask,102,20,We start on way.,5,I asked for the manager.,I ask for manager,7,151,We started on our way out of the restaurant.,caveman
order,22,20,I order.,6,I ordered a meal.,I order meal,0,153,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.",caveman
accept,40,20,I have.,7,I accepted her offer.,I accept offer,1,086,I always had to speak up and try to get her attention for a refill.,caveman
suggest,78,20,We not allow.,8,The waiter suggested an option.,waiter suggest option,0,022,"As I said, we did not allow it to tarnish our evening.",caveman
horrible,18,20,Waiter say.,9,The service was horrible,service horrible,0,271,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",caveman
arrive,58,20,It freezing.,10,I arrived at the restaurant.,I arrive at restaurant,0,171,It's freezing this time of year so I didn't want to sit near the door.,caveman
complain,110,20,I wonder.,11,I complained to the manager,I complain to manager,3,050,"I wonder, however, what we could have done differently to avoid his attitude.",caveman
begin,11,20,We be.,12,My son began to throw a tantrum,son begin,3,191,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.",caveman
arrive,41,20,Food good.,13,We arrived at the restaurant.,we arrive at restaurant,0,243,"The food was good, the service was good, we had a fun time.",caveman
greet,41,20,Food good.,14,We were greeted by the hostess,we greet agent hostess,0,120,"The food was good, the service was good, we had a fun time.",caveman
laugh,168,20,I embarrassed.,15,Everyone laughs at him.,everyone laugh at he,2,177,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,caveman
ask,68,20,He put on table.,16,The man asks for the time.,man ask for time,3,196,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.",caveman
argue,76,20,She break.,17,We argued about what we would get.,we argue,0,033,"Of course, she breaks the teabag inside.",caveman
full,40,21,I always had to speak up and try to get her attention for a refill.,1,when they were half full,they full,1,086,I always had to speak up and try to get her attention for a refill.,original
come,84,21,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",2,She came back and asked us about the meal.,she come,1,063,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",original
find,62,21,At this point I'm just sticking around to watch the show.,3,I found a snot rag in my salad.,I find rag in salad,0,151,At this point I'm just sticking around to watch the show.,original
think,68,21,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",4,The man next to us thought they weren't giving him the full size of steak he ordered.,man think next_to we,6,196,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",original
stay,18,21,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",5,We stayed at the table longer than normal and I tipped more than I should have.,we stay at table,0,271,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",original
cold,10,21,It was off to a bad start as soon as I walked in the door.,6,It's so cold out now and the door is drafty.,it cold,0,025,It was off to a bad start as soon as I walked in the door.,original
friendly,41,21,"The food was good, the service was good, we had a fun time.",7,"We're friendly, but I'm shy.",we friendly,0,243,"The food was good, the service was good, we had a fun time.",original
income,110,21,The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,8,We are on a fixed income.,we income,1,050,The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,original
make,86,21,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,9,The waitress made several mistakes on our order.,waitress make mistake on order,0,248,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,original
bring,88,21,"I interrupted her stating, ""I will go get my manager,'' and walked away.",10,They had brought coupons in that we didn't normally accept.,they bring coupon,1,023,"I interrupted her stating, ""I will go get my manager,'' and walked away.",original
be,168,21,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,11,It's like they thought we were divorced.,it be,2,177,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,original
make,78,21,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",12,We made up for the evening later on.,we make on evening,1,022,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",original
hard,133,21,"We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.",13,It was hard to believe that they already had their food.,it hard,0,191,"We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.",original
look,76,21,"Of course, she breaks the teabag inside.",14,I looked at the rude woman on her cellphone as she held up the rest of the line.,I look at woman,0,033,"Of course, she breaks the teabag inside.",original
tell,58,21,It's freezing this time of year so I didn't want to sit near the door.,15,They told me that the booth was reserved and so I couldn't have it.,they tell I,0,171,It's freezing this time of year so I didn't want to sit near the door.,original
have,22,21,It was a good thing that they didn't prepare my meal before giving me the price!,16,I had no idea how I was going to pay for the food.,I have idea,1,153,It was a good thing that they didn't prepare my meal before giving me the price!,original
decide,41,21,"The food was good, the service was good, we had a fun time.",17,We decided to try the new restaurant with good reviews.,we decide,0,120,"The food was good, the service was good, we had a fun time.",original
man,68,22,Manager shout after they.,1,Man leave.,man,6,196,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",caveman
decide,41,22,Food good.,2,We decide.,we decide,0,120,"The food was good, the service was good, we had a fun time.",caveman
sit,86,22,I order.,3,Group sit.,Group sit,0,248,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,caveman
apologize,88,22,I interrupt.,4,I apologize.,I apologize,1,023,"I interrupted her stating, ""I will go get my manager,'' and walked away.",caveman
make,11,22,Son behave.,5,He make mistake.,he make mistake,4,191,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,caveman
ask,110,22,I wonder.,6,I ask.,I ask,3,050,"I wonder, however, what we could have done differently to avoid his attitude.",caveman
leave,78,22,You think.,7,We leave.,we leave,1,022,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",caveman
enter,41,22,We people.,8,We enter.,we enter,1,243,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.",caveman
leave,18,22,I tip.,9,We leave.,we leave,2,271,"I usually tip well, but I gave the waiter 12%, which actually was too much.",caveman
drop,168,22,Husband decide.,10,I drop.,I drop,0,177,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,caveman
see,22,22,I order.,11,I see.,I see,0,153,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.",caveman
accept,40,22,I have.,12,I accept.,I accept,1,086,I always had to speak up and try to get her attention for a refill.,caveman
sit,84,22,Seconds come.,13,I sit.,I sit,0,063,A few seconds later the server came to check on us and asked how our food was.,caveman
ask,102,22,Salad deliver before appetizer.,14,Waiter ask.,Waiter ask,5,151,The salads with the dinners were delivered before the appetizer we ordered.,caveman
ask,76,22,She break.,15,He asks.,he ask,0,033,"Of course, she breaks the teabag inside.",caveman
arrive,29,22,It happen on holiday.,16,We arrive.,we arrive,0,171,It happened on a bank holiday and I was not at work that day.,caveman
ask,47,22,He mention.,17,He ask.,he ask,1,025,At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.,caveman
walk,68,23,Manager shout.,1,The couple walked out of the restaurant.,couple walk of restaurant,6,196,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",event_only
apologize,11,23,Son behave.,2,We apologized for the problem.,we apologize for problem,4,191,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,event_only
work,84,23,Server start.,3,We then worked on eating the food.,we work,1,063,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",event_only
take,47,23,He mention.,4,He took our order.,he take order,1,025,At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.,event_only
apologize,76,23,She decide.,5,We apologized many times.,we apologize time,1,033,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",event_only
stand,78,23,We allow.,6,We stood around.,we stand,0,022,"As I said, we did not allow it to tarnish our evening.",event_only
need,110,23,Dish hot.,7,I still need to work.,I need,1,050,The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,event_only
thank,18,23,We remain.,8,We thank him.,we thank he,1,271,"Just to spite him, we remained at our table for nearly 3 hours.",event_only
order,86,23,I order.,9,Other people order their food.,people order food,1,248,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.",event_only
accept,40,23,I have.,10,We accept the offer.,we accept offer,1,086,I always had to speak up and try to get her attention for a refill.,event_only
make,41,23,Food good.,11,We made reservations.,we make reservation,0,243,"The food was good, the service was good, we had a fun time.",event_only
surprise,29,23,It pour.,12,We were surprised.,we surprise,1,171,It was also pouring with rain outside and the restaurant was very busy with only about two tables free.,event_only
sit,41,23,We seat.,13,We sat down.,we sit,2,120,"We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.",event_only
push,62,23,I stick.,14,I pushed.,I push,0,151,At this point I'm just sticking around to watch the show.,event_only
apologize,88,23,I interrupt.,15,I apologized.,I apologize,1,023,"I interrupted her stating, ""I will go get my manager,'' and walked away.",event_only
work,22,23,I order.,16,It worked.,it work,0,153,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.",event_only
order,20,23,Couple run.,17,Sister orders.,order,1,177,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.",event_only
knock,168,24,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,1,My friend knocked over a dessert cart at a restaurant.,friend knock over cart at restaurant,0,177,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,original
keep,18,24,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",2,Our waiter kept trying to rush us to finish our meals.,waiter keep,0,271,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",original
enjoy,29,24,It happened on a bank holiday and I was not at work that day.,3,"I couldn't enjoy my meal, because of two screaming babies in the restaurant.",I enjoy meal,0,171,It happened on a bank holiday and I was not at work that day.,original
get,102,24,We started on our way out of the restaurant.,4,We got up and headed for the door.,we get,7,151,We started on our way out of the restaurant.,original
get,68,24,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.",5,"The man got up, scoffed at the manager and walked towards the door.",man get,3,196,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.",original
attentive,40,24,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",6,My waitress wasn't very attentive.,waitress attentive,0,086,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",original
tell,84,24,A few seconds later the server came to check on us and asked how our food was.,7,My wife told the server that her steak was overcooked.,wife tell server,0,063,A few seconds later the server came to check on us and asked how our food was.,original
disrespectful,88,24,He told them they were no longer welcome.,8,The couple were so disrespectful to me.,couple disrespectful to I,5,023,He told them they were no longer welcome.,original
seem,125,24,"He was standing next to me, but I did my best to concentrate on my soda and be polite.",9,It seemed as though he was going to kiss my mum.,it seem,1,120,"He was standing next to me, but I did my best to concentrate on my soda and be polite.",original
seem,41,24,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.",10,The restaurant seemed loud with all the people talking.,restaurant seem,1,243,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.",original
go,86,24,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,11,I'm never going to this restaurant again.,I go to restaurant,0,248,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,original
keep,76,24,"Of course, she breaks the teabag inside.",12,"The woman kept changing her order, and had been talking on her phone for five minutes.",woman keep,0,033,"Of course, she breaks the teabag inside.",original
rude,110,24,The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,13,Our server was extremely rude to us at the restaurant.,server rude to we at restaurant,1,050,The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,original
tell,22,24,It was a good thing that they didn't prepare my meal before giving me the price!,14,The waitress told me there was an ATM next door if I needed to get cash.,waitress tell I,1,153,It was a good thing that they didn't prepare my meal before giving me the price!,original
complain,48,24,"In reality this ""judge'' was trying to hide his martini on the floor.",15,The man loudly complained and then proceeded to knock a glass off the bar.,man complain,1,022,"In reality this ""judge'' was trying to hide his martini on the floor.",original
notice,10,24,It's freezing this time of year so I didn't want to sit near the door.,16,I noticed a server on staff that day was the same one who'd been rude to me before.,I notice,1,025,It's freezing this time of year so I didn't want to sit near the door.,original
start,11,24,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,17,"My kid started to scream loudly, because he was tired.",kid start,4,191,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,original
